Title:,"Time Series, Area-Averaged of 2-meter specific humidity monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-96.813,18.551,-95.473,19.811"
Data Bounding Box:,"-96.25,19,-95.625,19.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-96.813,18.551,-95.473,19.811&data=M2TMNXSLV_5_12_4_QV2M&dataKeyword=QV2M&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXSLV_5_12_4_QV2M):, 1000000000000000

time, mean_M2TMNXSLV_5_12_4_QV2M
1990-01-01 00:00:00,0.0135844937
1990-02-01 00:00:00,0.0130149052
1990-03-01 00:00:00,0.0140096648
1990-04-01 00:00:00,0.0164073911
1990-05-01 00:00:00,0.017819874
1990-06-01 00:00:00,0.0184061732
1990-07-01 00:00:00,0.0182000175
1990-08-01 00:00:00,0.0182269663
1990-09-01 00:00:00,0.0182129219
1990-10-01 00:00:00,0.016389478
1990-11-01 00:00:00,0.014771807
1990-12-01 00:00:00,0.013117752
1991-01-01 00:00:00,0.0139545174
1991-02-01 00:00:00,0.0127045037
1991-03-01 00:00:00,0.0137869082
1991-04-01 00:00:00,0.0170864481
1991-05-01 00:00:00,0.0184001755
1991-06-01 00:00:00,0.0188063942
1991-07-01 00:00:00,0.018156901
1991-08-01 00:00:00,0.0183934439
1991-09-01 00:00:00,0.018245006
1991-10-01 00:00:00,0.0172308274
1991-11-01 00:00:00,0.0141256126
1991-12-01 00:00:00,0.0143635776
1992-01-01 00:00:00,0.0132350437
1992-02-01 00:00:00,0.0134653244
1992-03-01 00:00:00,0.0152536193
1992-04-01 00:00:00,0.0159728099
1992-05-01 00:00:00,0.0164594557
1992-06-01 00:00:00,0.0189725775
1992-07-01 00:00:00,0.018389659
