Title:,"Time Series, Area-Averaged of Surface wind speed monthly 0.5 x 0.625 deg. [MERRA-2 Reanalysis (monthly)"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-99.798,18.798,-98.458,20.058"
Data Bounding Box:,"-99.375,19,-98.75,20"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-99.798,18.798,-98.458,20.058&data=M2TMNXFLX_5_12_4_SPEED&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXFLX_5_12_4_SPEED):, 1000000000000000

time, mean_M2TMNXFLX_5_12_4_SPEED
1980-01-01 00:00:00,4.3225708
1980-02-01 00:00:00,4.45463037
1980-03-01 00:00:00,4.68624353
1980-04-01 00:00:00,4.66530609
1980-05-01 00:00:00,3.8665278
1980-06-01 00:00:00,4.59678936
1980-07-01 00:00:00,4.13603497
1980-08-01 00:00:00,3.80526447
1980-09-01 00:00:00,4.18972158
1980-10-01 00:00:00,3.96628189
1980-11-01 00:00:00,3.55099225
1980-12-01 00:00:00,4.13951397
1981-01-01 00:00:00,4.53096819
1981-02-01 00:00:00,4.28025627
1981-03-01 00:00:00,4.82335329
1981-04-01 00:00:00,4.15104723
1981-05-01 00:00:00,3.93743134
1981-06-01 00:00:00,3.99223089
1981-07-01 00:00:00,4.18513775
1981-08-01 00:00:00,4.26088428
1981-09-01 00:00:00,4.51842833
1981-10-01 00:00:00,3.88040757
1981-11-01 00:00:00,3.96984816
1981-12-01 00:00:00,4.16415215
1982-01-01 00:00:00,4.4313612
1982-02-01 00:00:00,4.21769381
1982-03-01 00:00:00,4.25604486
1982-04-01 00:00:00,4.32152748
1982-05-01 00:00:00,3.4091351
1982-06-01 00:00:00,3.95126677
1982-07-01 00:00:00,4.29886532
1982-08-01 00:00:00,4.18284035
1982-09-01 00:00:00,4.57050085
1982-10-01 00:00:00,3.85452986
1982-11-01 00:00:00,3.95002222
1982-12-01 00:00:00,4.55042982
1983-01-01 00:00:00,4.7037282
1983-02-01 00:00:00,5.45073605
1983-03-01 00:00:00,5.98095798
1983-04-01 00:00:00,5.87094879
1983-05-01 00:00:00,4.24649
1983-06-01 00:00:00,3.78006101
1983-07-01 00:00:00,4.70602894
1983-08-01 00:00:00,3.96813416
1983-09-01 00:00:00,4.4417944
1983-10-01 00:00:00,3.98780942
1983-11-01 00:00:00,4.01352358
1983-12-01 00:00:00,3.98205996
1984-01-01 00:00:00,4.03047991
1984-02-01 00:00:00,4.29814005
1984-03-01 00:00:00,4.50243759
1984-04-01 00:00:00,5.04148769
1984-05-01 00:00:00,4.30429268
1984-06-01 00:00:00,3.62689209
1984-07-01 00:00:00,4.1134944
1984-08-01 00:00:00,4.01873446
1984-09-01 00:00:00,4.63916826
1984-10-01 00:00:00,3.38674045
1984-11-01 00:00:00,4.20065737
1984-12-01 00:00:00,4.18786192
1985-01-01 00:00:00,3.92831063
1985-02-01 00:00:00,4.35671425
1985-03-01 00:00:00,4.6796174
1985-04-01 00:00:00,4.00554228
1985-05-01 00:00:00,3.76879358
1985-06-01 00:00:00,3.66513014
1985-07-01 00:00:00,4.1989522
1985-08-01 00:00:00,4.27708864
1985-09-01 00:00:00,3.97546458
1985-10-01 00:00:00,4.15470314
1985-11-01 00:00:00,3.59952855
1985-12-01 00:00:00,3.73510456
1986-01-01 00:00:00,4.11521149
1986-02-01 00:00:00,4.74965668
1986-03-01 00:00:00,5.41262722
1986-04-01 00:00:00,3.75278449
1986-05-01 00:00:00,3.61358571
1986-06-01 00:00:00,3.73378348
1986-07-01 00:00:00,4.46927834
1986-08-01 00:00:00,3.90414953
1986-09-01 00:00:00,4.05676365
1986-10-01 00:00:00,3.77903891
1986-11-01 00:00:00,4.18026495
1986-12-01 00:00:00,4.19189119
1987-01-01 00:00:00,4.59217787
1987-02-01 00:00:00,5.24089098
1987-03-01 00:00:00,5.77184868
1987-04-01 00:00:00,4.33638144
1987-05-01 00:00:00,4.08295012
1987-06-01 00:00:00,3.5738008
1987-07-01 00:00:00,4.7037344
1987-08-01 00:00:00,4.22547102
1987-09-01 00:00:00,4.0264802
1987-10-01 00:00:00,4.57934713
1987-11-01 00:00:00,4.05784225
1987-12-01 00:00:00,3.91210246
1988-01-01 00:00:00,4.5164938
1988-02-01 00:00:00,4.29684353
1988-03-01 00:00:00,4.77499914
1988-04-01 00:00:00,4.48251438
1988-05-01 00:00:00,4.1388464
1988-06-01 00:00:00,4.13773584
1988-07-01 00:00:00,4.17306376
1988-08-01 00:00:00,4.30586958
1988-09-01 00:00:00,4.11247349
1988-10-01 00:00:00,4.17851067
1988-11-01 00:00:00,3.86713266
1988-12-01 00:00:00,4.12746239
1989-01-01 00:00:00,3.86256433
1989-02-01 00:00:00,4.80382538
1989-03-01 00:00:00,4.80541611
1989-04-01 00:00:00,4.41428947
1989-05-01 00:00:00,4.12747622
1989-06-01 00:00:00,4.47844315
1989-07-01 00:00:00,4.00205708
1989-08-01 00:00:00,3.79168105
1989-09-01 00:00:00,4.71315956
1989-10-01 00:00:00,3.77831674
1989-11-01 00:00:00,3.7841754
1989-12-01 00:00:00,4.19428635
1990-01-01 00:00:00,4.0012145
1990-02-01 00:00:00,4.32283497
1990-03-01 00:00:00,4.40517616
1990-04-01 00:00:00,3.88149261
1990-05-01 00:00:00,3.9463439
1990-06-01 00:00:00,4.18036985
1990-07-01 00:00:00,3.96647787
1990-08-01 00:00:00,4.35477495
1990-09-01 00:00:00,3.92262316
1990-10-01 00:00:00,3.67412424
1990-11-01 00:00:00,4.3131175
1990-12-01 00:00:00,3.71634412
1991-01-01 00:00:00,4.19804764
1991-02-01 00:00:00,4.19376278
1991-03-01 00:00:00,5.07832575
1991-04-01 00:00:00,4.28122282
1991-05-01 00:00:00,3.71288347
1991-06-01 00:00:00,3.96714759
1991-07-01 00:00:00,3.99450946
1991-08-01 00:00:00,4.0720253
1991-09-01 00:00:00,4.47222185
1991-10-01 00:00:00,3.87184024
1991-11-01 00:00:00,3.72186637
1991-12-01 00:00:00,3.59235954
1992-01-01 00:00:00,4.30779552
1992-02-01 00:00:00,4.33866453
1992-03-01 00:00:00,4.12474823
1992-04-01 00:00:00,4.44782019
1992-05-01 00:00:00,3.37611341
1992-06-01 00:00:00,3.97537899
1992-07-01 00:00:00,4.07466269
1992-08-01 00:00:00,4.19956636
1992-09-01 00:00:00,4.76485205
1992-10-01 00:00:00,3.96902537
1992-11-01 00:00:00,3.57706738
1992-12-01 00:00:00,4.14520121
1993-01-01 00:00:00,3.97888279
1993-02-01 00:00:00,4.31649017
1993-03-01 00:00:00,4.90878963
1993-04-01 00:00:00,4.67841053
1993-05-01 00:00:00,4.44505358
1993-06-01 00:00:00,4.55364561
1993-07-01 00:00:00,4.28531599
1993-08-01 00:00:00,4.5466361
1993-09-01 00:00:00,4.91428995
1993-10-01 00:00:00,4.19227076
1993-11-01 00:00:00,3.82541466
1993-12-01 00:00:00,4.08363485
1994-01-01 00:00:00,4.24066067
1994-02-01 00:00:00,4.33326721
1994-03-01 00:00:00,4.5376296
1994-04-01 00:00:00,4.3551445
1994-05-01 00:00:00,3.95015383
1994-06-01 00:00:00,3.6355617
1994-07-01 00:00:00,3.79316497
1994-08-01 00:00:00,3.86366963
1994-09-01 00:00:00,4.01926613
1994-10-01 00:00:00,3.44160056
1994-11-01 00:00:00,4.13264656
1994-12-01 00:00:00,3.80907154
1995-01-01 00:00:00,3.86899018
1995-02-01 00:00:00,4.1211977
1995-03-01 00:00:00,4.3628273
1995-04-01 00:00:00,4.53134775
1995-05-01 00:00:00,4.04643106
1995-06-01 00:00:00,4.09523392
1995-07-01 00:00:00,4.36872196
1995-08-01 00:00:00,4.18017817
1995-09-01 00:00:00,3.9782033
1995-10-01 00:00:00,4.41153479
1995-11-01 00:00:00,4.04858017
1995-12-01 00:00:00,4.05497122
1996-01-01 00:00:00,4.50566053
1996-02-01 00:00:00,4.33533859
1996-03-01 00:00:00,4.89409018
1996-04-01 00:00:00,4.88178921
1996-05-01 00:00:00,3.9138422
1996-06-01 00:00:00,4.07085085
1996-07-01 00:00:00,4.13394213
1996-08-01 00:00:00,4.19497013
1996-09-01 00:00:00,3.97611332
1996-10-01 00:00:00,3.95721102
1996-11-01 00:00:00,4.68713617
1996-12-01 00:00:00,3.7262671
1997-01-01 00:00:00,4.48982954
1997-02-01 00:00:00,4.57625151
1997-03-01 00:00:00,4.27045727
1997-04-01 00:00:00,4.74412251
1997-05-01 00:00:00,3.85621881
1997-06-01 00:00:00,3.98210573
1997-07-01 00:00:00,4.61566305
1997-08-01 00:00:00,4.49688959
1997-09-01 00:00:00,4.18437052
1997-10-01 00:00:00,4.14654684
1997-11-01 00:00:00,4.09142351
1997-12-01 00:00:00,4.94594049
1998-01-01 00:00:00,4.78375006
1998-02-01 00:00:00,6.36317158
1998-03-01 00:00:00,5.57295084
1998-04-01 00:00:00,4.91400671
1998-05-01 00:00:00,4.68746853
1998-06-01 00:00:00,4.23044252
1998-07-01 00:00:00,4.89836311
1998-08-01 00:00:00,4.31687975
1998-09-01 00:00:00,3.99202967
1998-10-01 00:00:00,4.54486322
1998-11-01 00:00:00,3.67249537
1998-12-01 00:00:00,3.7069037
1999-01-01 00:00:00,4.52047634
1999-02-01 00:00:00,4.2181263
1999-03-01 00:00:00,4.44744062
1999-04-01 00:00:00,4.60958099
1999-05-01 00:00:00,4.41570997
1999-06-01 00:00:00,4.40721083
1999-07-01 00:00:00,4.58367443
1999-08-01 00:00:00,4.04520512
1999-09-01 00:00:00,4.97588491
1999-10-01 00:00:00,5.10837126
1999-11-01 00:00:00,4.57911444
1999-12-01 00:00:00,4.48408413
2000-01-01 00:00:00,4.50416422
2000-02-01 00:00:00,4.41119671
2000-03-01 00:00:00,4.36193037
2000-04-01 00:00:00,4.69124603
2000-05-01 00:00:00,4.21742105
2000-06-01 00:00:00,4.1706953
2000-07-01 00:00:00,4.34564734
2000-08-01 00:00:00,4.59609222
2000-09-01 00:00:00,4.40070105
2000-10-01 00:00:00,4.10791636
2000-11-01 00:00:00,4.15256166
2000-12-01 00:00:00,4.48886776
2001-01-01 00:00:00,4.21541071
